	SHAPERep1	SHAPERep2	Entropy	folded_merged	intervals	count	idx
71	0.031127	0.046984	1.1169457682e-05	True	2	1	119
72	0.031127	0.04669	1.1169457682e-05	True	2	2	119
73	0.031127	0.046396	1.1169457682e-05	True	2	3	119
74	0.032008	0.046396	1.1169457682e-05	True	2	4	119
75	0.033476	0.046396	1.1169457682e-05	True	2	5	119
76	0.036412	0.046396	1.1169457682e-05	True	2	6	119
77	0.033476	0.046396	1.1169457682e-05	True	2	7	119
78	0.036412	0.044341	1.1169457682e-05	True	2	8	119
79	0.041111	0.044341	1.1169457682e-05	True	2	9	119
80	0.041992	0.044341	1.1169457682e-05	True	2	10	119
81	0.045809	0.044341	1.1169457682e-05	True	2	11	119
82	0.045809	0.046396	2.99550946141e-05	True	2	12	119
83	0.045809	0.046396	2.99550946141e-05	True	2	13	119
84	0.045809	0.044341	2.99550946141e-05	True	2	14	119
85	0.045809	0.044341	2.99550946141e-05	True	2	15	119
86	0.049627	0.044341	2.99550946141e-05	True	2	16	119
87	0.0555	0.044341	2.99550946141e-05	True	2	17	119
88	0.059023	0.044341	5.26093174992e-05	True	2	18	119
89	0.059023	0.044341	0.000518562288715	True	2	19	119
90	0.063722	0.044341	0.000518562288715	True	2	20	119
91	0.063722	0.044341	0.000549812399266	True	2	21	119
92	0.059023	0.044341	0.000549812399266	True	2	22	119
93	0.059023	0.044341	0.000549812399266	True	2	23	119
94	0.059023	0.046103	0.000549812399266	True	2	24	119
95	0.065484	0.044341	0.000549812399266	True	2	25	119
96	0.059023	0.044341	0.000549812399266	True	2	26	119
97	0.059023	0.044341	0.000549812399266	True	2	27	119
98	0.059904	0.044341	0.000549812399266	True	2	28	119
99	0.059023	0.044928	0.000549812399266	True	2	29	119
100	0.059023	0.044928	0.000549812399266	True	2	30	119
101	0.059023	0.044928	0.000549812399266	True	2	31	119
102	0.059023	0.044928	0.00127437830847	True	2	32	119
103	0.059023	0.044341	0.00127437830847	True	2	33	119
104	0.059023	0.044341	0.00127437830847	True	2	34	119
105	0.057555	0.044341	0.00149667111676	True	2	35	119
106	0.057555	0.044341	0.00243303971199	True	2	36	119
107	0.0555	0.043754	0.00255506581329	True	2	37	119
108	0.0555	0.043754	0.00311450914867	True	2	38	119
109	0.052563	0.04346	0.00383059102018	True	2	39	119
110	0.052563	0.04346	0.00851842602335	True	2	40	119
111	0.0555	0.043754	0.00851842602335	True	2	41	119
112	0.0555	0.04346	0.00851842602335	True	2	42	119
113	0.0555	0.04346	0.00851842602335	True	2	43	119
114	0.0555	0.043754	0.00851842602335	True	2	44	119
115	0.0555	0.04346	0.00851842602335	True	2	45	119
116	0.052563	0.042579	0.00851842602335	True	2	46	119
117	0.052563	0.041404	0.00606176295987	True	2	47	119
118	0.052563	0.041404	0.00606176295987	True	2	48	119
119	0.052563	0.042579	0.00606176295987	True	2	49	119
120	0.0555	0.043754	0.00606176295987	True	2	50	119
121	0.057555	0.043754	0.00606176295987	True	2	51	119
122	0.059904	0.043754	0.00606176295987	True	2	52	119
123	0.062841	0.043754	0.00606176295987	True	2	53	119
124	0.062841	0.043754	0.00606176295987	True	2	54	119
125	0.062841	0.041404	0.00606176295987	True	2	55	119
126	0.071357	0.042579	0.00606176295987	True	2	56	119
127	0.071357	0.042579	0.00606176295987	True	2	57	119
128	0.071357	0.043754	0.00851842602335	True	2	58	119
129	0.062841	0.042579	0.00606176295987	True	2	59	119
130	0.071357	0.042579	0.00491722845207	True	2	60	119
131	0.071357	0.042579	0.00460878545264	True	2	61	119
132	0.084277	0.043754	0.0042357116677	True	2	62	119
133	0.071357	0.043754	0.00311450914867	True	2	63	119
134	0.062841	0.042579	0.00153624673954	True	2	64	119
135	0.059904	0.041404	0.00149667111676	True	2	65	119
136	0.059904	0.041404	0.00127437830847	True	2	66	119
137	0.05873	0.041111	0.000454155510155	True	2	67	119
138	0.057555	0.04023	0.000105716438428	True	2	68	119
139	0.057555	0.04023	0.000100814410856	True	2	69	119
140	0.05873	0.041111	5.51049481786e-05	True	2	70	119
141	0.05873	0.04023	5.51049481786e-05	True	2	71	119
142	0.057555	0.039936	5.51049481786e-05	True	2	72	119
143	0.055793	0.039936	4.73731930849e-05	True	2	73	119
144	0.054325	0.039643	3.5130248583e-05	True	2	74	119
145	0.052563	0.039349	3.5130248583e-05	True	2	75	119
146	0.052563	0.039349	3.48189295436e-05	True	2	76	119
147	0.054325	0.039643	2.81926403054e-05	True	2	77	119
148	0.054325	0.039643	2.77544167636e-05	True	2	78	119
149	0.054325	0.039643	2.75884178565e-05	True	2	79	119
150	0.054325	0.039643	2.4702316269e-05	True	2	80	119
151	0.055793	0.039936	2.42865431748e-05	True	2	81	119
152	0.055793	0.039936	2.42865431748e-05	True	2	82	119
153	0.055793	0.039936	1.88268852471e-05	True	2	83	119
154	0.055793	0.039643	1.86432810711e-05	True	2	84	119
155	0.057555	0.039643	1.86432810711e-05	True	2	85	119
156	0.057555	0.039643	1.86432810711e-05	True	2	86	119
157	0.05873	0.039643	1.08074784811e-05	True	2	87	119
158	0.062253	0.039936	7.50923959374e-06	True	2	88	119
159	0.062253	0.04023	7.50923959374e-06	True	2	89	119
160	0.062841	0.039936	7.43493015081e-06	True	2	90	119
161	0.062253	0.039643	6.08454618914e-06	True	2	91	119
162	0.062253	0.039936	5.80917173102e-06	True	2	92	119
163	0.062253	0.039936	5.79296616395e-06	True	2	93	119
164	0.062253	0.04023	5.79296616395e-06	True	2	94	119
165	0.062841	0.041111	5.79296616395e-06	True	2	95	119
166	0.062253	0.04023	5.7857203571e-06	True	2	96	119
167	0.062253	0.041111	5.7857203571e-06	True	2	97	119
168	0.062841	0.041111	5.7418955206e-06	True	2	98	119
169	0.062253	0.04023	5.7418955206e-06	True	2	99	119
170	0.062841	0.041111	5.7418955206e-06	True	2	100	119
171	0.075468	0.041698	5.7857203571e-06	True	2	101	119
172	0.075468	0.041698	5.7857203571e-06	True	2	102	119
173	0.075468	0.042579	5.7857203571e-06	True	2	103	119
174	0.062841	0.041698	5.7857203571e-06	True	2	104	119
175	0.062253	0.041111	5.7857203571e-06	True	2	105	119
176	0.062253	0.04023	5.7857203571e-06	True	2	106	119
177	0.062253	0.039936	5.7857203571e-06	True	2	107	119
178	0.05873	0.04023	5.7857203571e-06	True	2	108	119
179	0.062253	0.041111	5.7857203571e-06	True	2	109	119
180	0.062253	0.041698	5.7857203571e-06	True	2	110	119
181	0.062253	0.041111	5.7857203571e-06	True	2	111	119
182	0.074587	0.041698	5.7857203571e-06	True	2	112	119
183	0.062253	0.041698	5.7857203571e-06	True	2	113	119
184	0.074587	0.043754	5.7418955206e-06	True	2	114	119
185	0.074587	0.044928	5.7418955206e-06	True	2	115	119
186	0.074587	0.044928	5.70478849855e-06	True	2	116	119
187	0.074587	0.044928	5.70478849855e-06	True	2	117	119
188	0.075468	0.045222	5.70478849855e-06	True	2	118	119
189	0.080166	0.045222	5.70478849855e-06	True	2	119	119
297	0.108063	0.04669	0.000152380861216	True	4	1	391
298	0.108063	0.04669	0.000150493055598	True	4	2	391
299	0.107475	0.04669	0.000150493055598	True	4	3	391
300	0.108063	0.045809	0.000149771375438	True	4	4	391
301	0.107475	0.044635	0.000149771375438	True	4	5	391
302	0.107475	0.045809	0.000149497225024	True	4	6	391
303	0.094261	0.04669	0.000149497225024	True	4	7	391
304	0.107475	0.04669	9.76060606087e-06	True	4	8	391
305	0.107475	0.046984	9.76060606087e-06	True	4	9	391
306	0.107475	0.046984	9.76060606087e-06	True	4	10	391
307	0.107475	0.04669	9.76060606087e-06	True	4	11	391
308	0.107475	0.044635	9.76060606087e-06	True	4	12	391
309	0.094261	0.044341	9.76060606087e-06	True	4	13	391
310	0.094261	0.044341	9.76060606087e-06	True	4	14	391
311	0.094261	0.044341	9.76060606087e-06	True	4	15	391
312	0.078991	0.044047	9.76060606087e-06	True	4	16	391
313	0.074293	0.043754	9.76060606087e-06	True	4	17	391
314	0.074293	0.043754	9.76060606087e-06	True	4	18	391
315	0.074293	0.044047	9.76060606087e-06	True	4	19	391
